kind,file,bytes,sha256,md5,upstream_revision,url
upstream,all_samples_metadata.csv,884360,36cd74a93943260f5eec7a6cb2d203dde67431dab92f81f2f6cd10294fdbb02c,99da1617cb6cf5fe7e47e9a93ed20cd7,8559d454387479f7155333693d854961463c3b15,https://raw.githubusercontent.com/ravel-lab/VALENCIA/8559d454387479f7155333693d854961463c3b15/Publication_materials/Data_and_metadata/all_samples_metadata.csv
upstream,all_samples_taxonomic_composition_data.csv,8299444,57eb3402700a15042fd57affbe92b06031d54b367a89eb86d009e48c1fc9b6ee,ca3a67d49aa31ad04c5d706f36a88a71,8559d454387479f7155333693d854961463c3b15,https://raw.githubusercontent.com/ravel-lab/VALENCIA/8559d454387479f7155333693d854961463c3b15/Publication_materials/Data_and_metadata/all_samples_taxonomic_composition_data.csv
prepared,cst.tx.13k.rds,31016,04ce9d17b9ad94f69061788b050c111baaaeb122210a610745f2d3f48e8335c1,95e75aa842a057aa8663521d8ae870c4,8559d454387479f7155333693d854961463c3b15,
prepared,tx.13k.rds,2581544,be282c13f87c0407da1dee3cc0bba32690dad2686b3e00dc45004d61685c2e74,9b639762aaaa87e88c70a075fc59981c,8559d454387479f7155333693d854961463c3b15,
prepared,tx.13k_build_summary.rds,348,51dad9c81d2cb95fb551d23e61d7e55628a00f2f5e895e31d65b1375828a3746,e0a88dde586234f2b0cc1b95c0a17e3f,8559d454387479f7155333693d854961463c3b15,
prepared,tx.13k_sample_filtering_summary.csv,568685,3e3694a4c6c975dabe64cb46eca269fea33dce51f4c62d614857fff272cd42d3,52fa9037f9439bfcc377e15862041527,8559d454387479f7155333693d854961463c3b15,
prepared,tx.13k_taxon_filtering_summary.csv,10314,383e5c5a57616ec1781ae116ab864627b61af157bf8f78eda3ed369474be9aed,833cd621962d6950bc870fda5da05fd1,8559d454387479f7155333693d854961463c3b15,
agp-prepared,agp_gut_counts.csv.gz,128940,7e47fda1d0faf4924155c7064e3f039d85e071264281341b7d170890db93afcd,891673b40894447bc31f3ef853d4c7a1,,
agp-prepared,agp_gut_meta.csv,81718,bfa101a8907cbaaa427c41b1dc0d9e8f9513fe467981e28bc30dc963b67ea001,46bf11b0b95ad39586b8d97506a1b458,,
agp-prepared,agp_gut_taxa.txt,31971,6f272b2397e90dff1d38e52be531d314f7af784d147c9687452cd1c6ebdb0c48,456ee6a93f96893993f38776ac41f62d,,
asset,agp_gut.rda,107944,09cfcddfc9f833bc46ece0a593ddb1f897ac7ad3fdbd0c367b192a089fd4e77c,0381d35318e5cd2717900780d7d3fa8b,,
asset,valencia13k_dcst_depth2_merged.rda,41360,54bc375139fc307d41387835029f6e2f2ac73586d8f605243d304d7beb7aac8f,a5945e0635b18483312b694e98ace456,,
asset,valencia13k_dcst_depth3_merged.rda,63744,32e9699e3ca57e0487a9e46afaa6b15359c7db56a8e3ebbb52f6b7949f52134d,d154a8893aef7ece3099ad8874eccc43,,
asset,valencia2k.rda,421420,26d4b0c9b40f965753193f679dc836fe4de0c3f30f60c41aefd3b3037e17f873,59bc0d3216e2c8b9aa0fb984f13ac572,,
asset,valencia_linf_hypercube_1k.rda,34780,d9dd446c46d076aa5956283db5b991ab000d4330fe39f28e2cf07457b167ff09,ac48dac215569ba9e0f6fbdd705ea7ff,,
