cohort	comparison	depth	mapped_total	mapped_cases	mapped_controls	mapping_rate_total	mapping_rate_cases	mapping_rate_controls	mapped_vs_unmapped_p
Halfvarson IBD	IBD_vs_Healthy	1	533	479	54	1	1	1	1
Halfvarson IBD	IBD_vs_Healthy	2	492	448	44	0.923076923076923	0.935281837160752	0.814814814814815	0.0046881106522233
Halfvarson IBD	IBD_vs_Healthy	3	478	436	42	0.896810506566604	0.910229645093946	0.777777777777778	0.007114620572828
Halfvarson IBD	IBD_vs_Healthy	4	311	289	22	0.583489681050657	0.603340292275574	0.407407407407407	0.00826689797000113
Halfvarson Crohn	Crohn_vs_Healthy	1	254	200	54	1	1	1	1
Halfvarson Crohn	Crohn_vs_Healthy	2	223	179	44	0.877952755905512	0.895	0.814814814814815	0.156798723869337
Halfvarson Crohn	Crohn_vs_Healthy	3	213	171	42	0.838582677165354	0.855	0.777777777777778	0.209901870678798
Halfvarson Crohn	Crohn_vs_Healthy	4	124	102	22	0.488188976377953	0.51	0.407407407407407	0.219965344754015
Halfvarson UC	UC_vs_Healthy	1	333	279	54	1	1	1	1
Halfvarson UC	UC_vs_Healthy	2	313	269	44	0.93993993993994	0.96415770609319	0.814814814814815	0.000289525449610344
Halfvarson UC	UC_vs_Healthy	3	307	265	42	0.921921921921922	0.949820788530466	0.777777777777778	0.000167809865821409
Halfvarson UC	UC_vs_Healthy	4	209	187	22	0.627627627627628	0.670250896057348	0.407407407407407	0.000367711959043935
HMP2 IBD	IBD_vs_Healthy	1	166	121	45	1	1	1	1
HMP2 IBD	IBD_vs_Healthy	2	164	121	43	0.987951807228916	1	0.955555555555556	0.072289156626506
HMP2 IBD	IBD_vs_Healthy	3	154	113	41	0.927710843373494	0.933884297520661	0.911111111111111	0.736498932042253
HMP2 IBD	IBD_vs_Healthy	4	93	63	30	0.560240963855422	0.520661157024793	0.666666666666667	0.113889039779735
Gevers Crohn	Crohn_vs_Healthy	1	396	363	33	1	1	1	1
Gevers Crohn	Crohn_vs_Healthy	2	308	282	26	0.777777777777778	0.776859504132231	0.787878787878788	1
Gevers Crohn	Crohn_vs_Healthy	3	260	238	22	0.656565656565657	0.65564738292011	0.666666666666667	1
Gevers Crohn	Crohn_vs_Healthy	4	134	123	11	0.338383838383838	0.338842975206612	0.333333333333333	1
PRJEB84421 OFG	OFG_vs_Healthy	1	49	29	20	1	1	1	1
PRJEB84421 OFG	OFG_vs_Healthy	2	40	23	17	0.816326530612245	0.793103448275862	0.85	0.719941396894629
PRJEB84421 OFG	OFG_vs_Healthy	3	36	19	17	0.73469387755102	0.655172413793103	0.85	0.191202971107688
PRJEB84421 OFG	OFG_vs_Healthy	4	21	9	12	0.428571428571429	0.310344827586207	0.6	0.0770764753568641
Jacobs IBS	IBS_vs_Healthy	1	239	85	154	1	1	1	1
Jacobs IBS	IBS_vs_Healthy	2	224	79	145	0.937238493723849	0.929411764705882	0.941558441558442	0.78270444731595
Jacobs IBS	IBS_vs_Healthy	3	224	79	145	0.937238493723849	0.929411764705882	0.941558441558442	0.78270444731595
Jacobs IBS	IBS_vs_Healthy	4	181	62	119	0.757322175732218	0.729411764705882	0.772727272727273	0.528704073708275
