label_short	depth	view	n_label	label_cases	label_controls	fisher_or	p_value	q_value_selected_labels
Bacteroides	1	absorb	10599	511	10088	1.4721817982461	2.26937501408386e-10	3.40406252112579e-10
Bacteroides	1	rare_policy	10358	498	9860	1.45657192453047	7.60784395521022e-10	1.14117659328153e-09
Bacteroides / Lachnospiraceae	2	absorb	1643	163	1480	3.03528601327551	4.90792483986128e-29	2.94475490391677e-28
Bacteroides / Lachnospiraceae	2	rare_policy	1548	160	1388	3.1779584628383	1.16320704887985e-30	6.97924229327908e-30
Bacteroides / Lachnospiraceae / Alistipes	3	absorb	176	49	127	10.0137950254933	1.79859888363925e-28	5.39579665091776e-28
Bacteroides / Lachnospiraceae / Alistipes	3	rare_policy	153	44	109	10.4379213336571	2.4124516853621e-26	7.23735505608629e-26
Bacteroides / Lachnospiraceae / Alistipes / Faecalibacterium	4	absorb	89	16	73	5.53606798084329	2.632807584262e-07	3.1593691011144e-07
Bacteroides / Lachnospiraceae / Alistipes / Faecalibacterium	4	rare_policy	45	11	34	8.14807882204322	7.99201158965218e-07	9.59041390758261e-07
Morganella	1	absorb	56	22	34	16.4484848554891	3.82937338675875e-17	7.65874677351749e-17
Morganella	1	rare_policy	53	22	31	18.0420436343836	9.23068406350081e-18	1.84613681270016e-17
Proteus	1	absorb	51	6	45	3.34214829271315	0.0132131651856816	0.0132131651856816
Proteus	1	rare_policy	51	6	45	3.34214829271315	0.0132131651856816	0.0132131651856816
