cohort	comparison	mode	depth	sample_best_label	sample_q	first_subject_q	bootstrap_iterations	bootstrap_consensus_rate	bootstrap_median_q	bootstrap_median_or	bootstrap_or_lo	bootstrap_or_hi	n_samples	n_subjects	repeated_subjects
Halfvarson 2017	IBD vs healthy	rebuilt_cohort	1	Segatella sp.	3.00202302289842e-09	0.218832761085333	1000	0.368	0.12076350851255	0.170984455958549	0.0753288162614588	0.375487900078064	533	118	99
Halfvarson 2017	IBD vs healthy	agp_label_transfer	1	Segatella sp.	1.28018029862821e-08	0.65212294596777	1000	0.093	0.388773131736738	0.156695156695157	0.0751714341192221	0.316582914572864	533	118	99
Halfvarson 2017	Crohn vs healthy	rebuilt_cohort	1	Segatella sp.	2.59651716570937e-05	0.102491753130386	1000	0.312	0.102491753130386	0.286694101508916	0.121978404737025	0.686888454011742	254	58	47
Halfvarson 2017	Crohn vs healthy	agp_label_transfer	1	Segatella sp.	4.06302555027495e-07	0.428723322243851	1000	0.096	0.441770345351867	0.151061173533084	0.06158357771261	0.380378657487091	254	58	47
Halfvarson 2017	UC vs healthy	rebuilt_cohort	1	Bacteroides dorei	3.26090641695839e-09	0.0749765959936596	1000	0.583	0.0348643027788343	5.05347593582888	2.31772575250836	11.4705882352941	333	69	61
Halfvarson 2017	UC vs healthy	agp_label_transfer	1	Segatella sp.	5.66296456039414e-08	0.510785282420098	1000	0.085	0.393285160231877	0.171339563862928	0.0651649235720032	0.357798165137615	333	69	61
HMP2 / IBDMDB	IBD vs healthy	rebuilt_cohort	2	Bacteroides__Faecalibacterium	0.240497512542494	0.0750392379926832	1000	0.077	0.255591137928081	0.43328335832084	0.24861407249467	0.664477611940299	166	81	67
HMP2 / IBDMDB	IBD vs healthy	agp_label_transfer	1	Alistipes sp.	0.741888697991127	1	1000	0	1	0.378151260504202	0.120448179271709	0.378151260504202	166	81	67
Gevers 2014	Crohn vs healthy	rebuilt_cohort	1	Faecalibacterium prausnitzii	0.304791116127766	0.290545871273949	1000	0	0.295459265415006	1.74965141336038	1.7079313369252	1.79235603437219	396	363	8
Gevers 2014	Crohn vs healthy	agp_label_transfer	4	Segatella sp.__Faecalibacterium prausnitzii__UCG-002 sp.	0.757070461130866	0.787481070166583	1000	0	0.820668693009118	0.113320079522863	0.10934393638171	0.114228456913828	396	363	8
PRJEB84421	OFG vs healthy	rebuilt_cohort	2	Faecalibacterium__Bacteroides	0.0185878715840889	0.0185878715840889	1000	1	0.0185878715840889	0.110047846889952	0.110047846889952	0.110047846889952	49	49	0
PRJEB84421	OFG vs healthy	agp_label_transfer	1	Blautia sp.	0.001908484741574	0.001908484741574	1000	1	0.001908484741574	33.5454545454546	33.5454545454546	33.5454545454546	49	49	0
