label	n_label	n_cases	n_controls	total_cases	total_controls	or	ci_low	ci_high	p_value	q_value	mode	depth	analysis
Bacteroides dorei	248	96	152	120	173	0.553772297639923	0.276442517286931	1.10155768088536	0.0719089700568966	0.0719089700568967	Rebuilt	1	uc_extent
Segatella sp.	45	24	21	120	173	1.80579636117917	0.907805389905923	3.61738856169529	0.0719089700568967	0.0719089700568967	Rebuilt	1	uc_extent
Segatella sp.__Faecalibacterium prausnitzii	45	24	21	120	173	1.80579636117917	0.907805389905923	3.61738856169529	0.0719089700568967	0.236740935689634	Rebuilt	2	uc_extent
Bacteroides dorei__Faecalibacterium prausnitzii	98	33	65	120	173	0.631231609034648	0.366796709501979	1.07381441265179	0.078913645229878	0.236740935689634	Rebuilt	2	uc_extent
Bacteroides dorei__Akkermansia muciniphila	14	8	6	120	173	1.983340659123	0.585482858565754	7.13531393742529	0.266976627900619	0.533953255801237	Rebuilt	2	uc_extent
Bacteroides dorei__Bacteroides stercoris	26	10	16	120	173	0.892417445342086	0.348061798997882	2.18293468465317	0.837433705968429	1	Rebuilt	2	uc_extent
Bacteroides dorei__Bacteroides uniformis	77	32	45	120	173	1.03424457026958	0.586799862034195	1.81005546266122	0.893650031130843	1	Rebuilt	2	uc_extent
Bacteroides dorei__Agathobacter faecis	33	13	20	120	173	0.929652732619057	0.40605681905125	2.06251258157478	1	1	Rebuilt	2	uc_extent
Segatella sp.__Faecalibacterium prausnitzii__Escherichia-Shigella coli	10	0	10	120	173	0	0	0.621953400622906	0.00636420573939742	0.0890988803515639	Rebuilt	3	uc_extent
Segatella sp.__Faecalibacterium prausnitzii__Bifidobacterium breve	4	4	0	120	173	Inf	0.963585719653564	Inf	0.0273057819471477	0.141996783507093	Rebuilt	3	uc_extent
Bacteroides dorei__Bacteroides uniformis__Bacteroides cellulosilyticus	11	1	10	120	173	0.137638965973891	0.00313483531816931	0.9908022637374	0.0304278821800913	0.141996783507093	Rebuilt	3	uc_extent
Segatella sp.__Faecalibacterium prausnitzii__Bacteroides dorei	23	14	9	120	173	2.39929202627529	0.929062080553895	6.52481085422211	0.0489482657468275	0.171318930113896	Rebuilt	3	uc_extent
Segatella sp.__Faecalibacterium prausnitzii__Prevotellaceae fam.	8	6	2	120	173	4.47753762180856	0.783099183025754	46.1159347613759	0.0673243739824255	0.180226703424472	Rebuilt	3	uc_extent
Bacteroides dorei__Faecalibacterium prausnitzii__Bacteroides uniformis	75	24	51	120	173	0.599073030247808	0.327803724146272	1.07284526169555	0.0772400157533453	0.180226703424472	Rebuilt	3	uc_extent
