label	n_label	n_cases	n_controls	total_cases	total_controls	or	ci_low	ci_high	p_value	q_value	mode	depth	analysis
Bacteroides dorei	159	105	54	133	77	1.59361844259418	0.79499978615943	3.1797376439375	0.18188078217547	0.18188078217547	Rebuilt	1	cd_location
Segatella sp.	51	28	23	133	77	0.627502778125575	0.314491354941375	1.25786197356217	0.18188078217547	0.18188078217547	Rebuilt	1	cd_location
Bacteroides dorei__Faecalibacterium prausnitzii	37	11	26	133	77	0.178517098942418	0.07373292628796	0.40683286050382	7.33711889535648e-06	4.40227133721389e-05	Rebuilt	2	cd_location
Bacteroides dorei__Escherichia-Shigella coli	40	34	6	133	77	4.04015888012047	1.56461470666598	12.4113222236028	0.00167791558433656	0.00503374675300969	Rebuilt	2	cd_location
Bacteroides dorei__Bacteroides ovatus	31	26	5	133	77	3.4810650894167	1.23693365167344	12.1505383754972	0.0142616282716181	0.0285232565432363	Rebuilt	2	cd_location
Segatella sp.__Faecalibacterium prausnitzii	51	28	23	133	77	0.627502778125575	0.314491354941375	1.25786197356217	0.18188078217547	0.272821173263204	Rebuilt	2	cd_location
Bacteroides dorei__Bifidobacterium breve	21	16	5	133	77	1.96341621967984	0.651022296418544	7.15190838372522	0.238548597541842	0.28625831705021	Rebuilt	2	cd_location
Bacteroides dorei__Bacteroides uniformis	30	18	12	133	77	0.848509871552477	0.36026722797096	2.06153899270983	0.686921204894876	0.686921204894876	Rebuilt	2	cd_location
Bacteroides dorei__Faecalibacterium prausnitzii__Bacteroides stercoris	37	11	26	133	77	0.178517098942418	0.07373292628796	0.40683286050382	7.33711889535648e-06	6.60340700582084e-05	Rebuilt	3	cd_location
Bacteroides dorei__Escherichia-Shigella coli	40	34	6	133	77	4.04015888012047	1.56461470666598	12.4113222236028	0.00167791558433656	0.00755062012951453	Rebuilt	3	cd_location
Segatella sp.__Faecalibacterium prausnitzii__Bacteroides dorei	16	5	11	133	77	0.236113510104045	0.0616464528028745	0.774495639494023	0.0124358439634118	0.0320886636111408	Rebuilt	3	cd_location
Bacteroides dorei__Bacteroides ovatus	31	26	5	133	77	3.4810650894167	1.23693365167344	12.1505383754972	0.0142616282716181	0.0320886636111408	Rebuilt	3	cd_location
Segatella sp.__Faecalibacterium prausnitzii__Prevotellaceae fam.	6	1	5	133	77	0.110183864497583	0.00229487267929641	1.0116037905792	0.0258475313428005	0.0465255564170409	Rebuilt	3	cd_location
Segatella sp.__Faecalibacterium prausnitzii__Escherichia-Shigella coli	15	13	2	133	77	4.04123893131054	0.877176831457457	37.9096283545345	0.0562497987767609	0.0843746981651414	Rebuilt	3	cd_location
Bacteroides dorei__Bifidobacterium breve	21	16	5	133	77	1.96341621967984	0.651022296418544	7.15190838372522	0.238548597541842	0.306705339696654	Rebuilt	3	cd_location
Bacteroides dorei__Bacteroides uniformis	30	18	12	133	77	0.848509871552477	0.36026722797096	2.06153899270983	0.686921204894876	0.772786355506736	Rebuilt	3	cd_location
Segatella sp.__Faecalibacterium prausnitzii__Bifidobacterium breve	14	9	5	133	77	1.04494659391624	0.300594596900592	4.12757864345821	1	1	Rebuilt	3	cd_location
Bacteroides dorei__Faecalibacterium prausnitzii__Bacteroides stercoris__Agathobacter faecis	18	5	13	133	77	0.193927674636817	0.0518102037409778	0.611040489475993	0.0016954542251249	0.0186499964763739	Rebuilt	4	cd_location
Bacteroides dorei__Faecalibacterium prausnitzii__Bacteroides stercoris__Bacteroides ovatus	19	6	13	133	77	0.234330184192489	0.0696412042628404	0.697960815099526	0.00475883488545562	0.0261735918700059	Rebuilt	4	cd_location
Segatella sp.__Faecalibacterium prausnitzii__Bacteroides dorei	16	5	11	133	77	0.236113510104045	0.0616464528028745	0.774495639494023	0.0124358439634118	0.0392194777469499	Rebuilt	4	cd_location
Bacteroides dorei__Bacteroides ovatus	31	26	5	133	77	3.4810650894167	1.23693365167344	12.1505383754972	0.0142616282716181	0.0392194777469499	Rebuilt	4	cd_location
Segatella sp.__Faecalibacterium prausnitzii__Prevotellaceae fam.	6	1	5	133	77	0.110183864497583	0.00229487267929641	1.0116037905792	0.0258475313428005	0.0568645689541611	Rebuilt	4	cd_location
Bacteroides dorei__Escherichia-Shigella coli__Bacteroides ovatus	28	23	5	133	77	2.99706513426324	1.04991819174505	10.5577667559566	0.0340342820300341	0.0623961837217291	Rebuilt	4	cd_location
Segatella sp.__Faecalibacterium prausnitzii__Escherichia-Shigella coli	15	13	2	133	77	4.04123893131054	0.877176831457457	37.9096283545345	0.0562497987767609	0.0818168858251608	Rebuilt	4	cd_location
Bacteroides dorei__Escherichia-Shigella coli__Bacteroides fragilis	12	11	1	133	77	6.80841091342568	0.954775123674522	298.376967235164	0.059503189691026	0.0818168858251608	Rebuilt	4	cd_location
Bacteroides dorei__Bifidobacterium breve	21	16	5	133	77	1.96341621967984	0.651022296418544	7.15190838372522	0.238548597541842	0.291559396995584	Rebuilt	4	cd_location
Bacteroides dorei__Bacteroides uniformis	30	18	12	133	77	0.848509871552477	0.36026722797096	2.06153899270983	0.686921204894876	0.755613325384364	Rebuilt	4	cd_location
Segatella sp.__Faecalibacterium prausnitzii__Bifidobacterium breve	14	9	5	133	77	1.04494659391624	0.300594596900592	4.12757864345821	1	1	Rebuilt	4	cd_location
Faecalibacterium prausnitzii	20	4	16	133	77	0.119492076106825	0.0279035217608155	0.391165352021561	4.24205188957196e-05	0.00101809245349727	AGP transfer	1	cd_location
Segatella sp.	28	11	17	133	77	0.320100878636522	0.126912613454306	0.776478762117566	0.00610606442448993	0.0635630692725987	AGP transfer	1	cd_location
Lachnospiraceae fam.	11	11	0	133	77	Inf	1.52505169599888	Inf	0.00794538365907484	0.0635630692725987	AGP transfer	1	cd_location
Bacteroides ovatus	15	14	1	133	77	8.88207479368344	1.30025135640725	382.308071986466	0.0114974113977206	0.0689844683863238	AGP transfer	1	cd_location
Bacteroides fragilis	14	13	1	133	77	8.18038633693915	1.18305376530841	353.87220800603	0.019722884306093	0.0946698446692462	AGP transfer	1	cd_location
Bacteroides eggerthii	3	0	3	133	77	0	0	1.38482598978272	0.0480769230769231	0.192307692307692	AGP transfer	1	cd_location
Clostridia UCG-014 ord.	2	0	2	133	77	0	0	3.06890576641016	0.133333333333333	0.457142857142857	AGP transfer	1	cd_location
Agathobacter faecis	3	3	0	133	77	Inf	0.239362691556628	Inf	0.3	0.733333333333333	AGP transfer	1	cd_location
Akkermansia muciniphila	3	3	0	133	77	Inf	0.239362691556628	Inf	0.3	0.733333333333333	AGP transfer	1	cd_location
UCG-002 sp.	5	2	3	133	77	0.378449186637823	0.030948412883387	3.38161178390624	0.358583357686355	0.733333333333333	AGP transfer	1	cd_location
Christensenellaceae R-7 group sp.	1	0	1	133	77	0	0	22.5790500437779	0.366666666666667	0.733333333333333	AGP transfer	1	cd_location
Gemmiger sp.	1	0	1	133	77	0	0	22.5790500437779	0.366666666666667	0.733333333333333	AGP transfer	1	cd_location
Bifidobacterium breve	21	15	6	133	77	1.50145594312248	0.520718469585743	4.94610367308482	0.481953311685893	0.853333333333334	AGP transfer	1	cd_location
Parabacteroides distasonis	2	2	0	133	77	Inf	0.10860920671777	Inf	0.533333333333333	0.853333333333334	AGP transfer	1	cd_location
Prevotellaceae fam.	2	2	0	133	77	Inf	0.10860920671777	Inf	0.533333333333333	0.853333333333334	AGP transfer	1	cd_location
[Eubacterium] coprostanoligenes group fam.	5	4	1	133	77	2.34833059558327	0.226940883967719	117.495943463606	0.654271880738744	0.981407821108117	AGP transfer	1	cd_location
Blautia sp.	10	7	3	133	77	1.3684030942306	0.301013458311337	8.44690006431568	0.749064260254661	1	AGP transfer	1	cd_location
Bacteroides dorei	53	34	19	133	77	1.0481539092122	0.525256302711128	2.13420571071798	1	1	AGP transfer	1	cd_location
Alistipes onderdonkii	1	1	0	133	77	Inf	0.0148601973684211	Inf	1	1	AGP transfer	1	cd_location
Bacteroides caccae	1	1	0	133	77	Inf	0.0148601973684211	Inf	1	1	AGP transfer	1	cd_location
Enterococcus faecium	1	1	0	133	77	Inf	0.0148601973684211	Inf	1	1	AGP transfer	1	cd_location
Bacteroides sp.	3	2	1	133	77	1.15952961172859	0.059441723391538	69.317283449583	1	1	AGP transfer	1	cd_location
CAG-352 bromii	2	1	1	133	77	0.577378444422559	0.00728836534390556	45.784227785623	1	1	AGP transfer	1	cd_location
Gemmiger formicilis	3	2	1	133	77	1.15952961172859	0.059441723391538	69.317283449583	1	1	AGP transfer	1	cd_location
Bacteroides ovatus__Bacteroides dorei	11	11	0	129	77	Inf	1.57569507856306	Inf	0.00764942000492187	0.29731318348162	AGP transfer	2	cd_location
