label	n_label	n_cases	n_controls	total_cases	total_controls	or	ci_low	ci_high	p_value	q_value	mode	depth	analysis
Bacteroides dorei	153	83	70	103	99	1.71461933402225	0.853364890746493	3.50020305837103	0.139054786452148	0.139054786452149	Rebuilt	1	cd_calprotectin
Segatella sp.	49	20	29	103	99	0.583219832039426	0.285697710482372	1.17183166409065	0.139054786452149	0.139054786452149	Rebuilt	1	cd_calprotectin
Bacteroides dorei__Bacteroides uniformis	30	21	9	103	99	2.54939679247557	1.04718673443794	6.7020941914274	0.029346669935509	0.176080019613054	Rebuilt	2	cd_calprotectin
Bacteroides dorei__Bacteroides ovatus	28	19	9	103	99	2.25300117461357	0.91075562274415	5.98579063549929	0.0671288176990438	0.201386453097131	Rebuilt	2	cd_calprotectin
Segatella sp.__Faecalibacterium prausnitzii	49	20	29	103	99	0.583219832039426	0.285697710482372	1.17183166409065	0.139054786452149	0.278109572904297	Rebuilt	2	cd_calprotectin
Bacteroides dorei__Escherichia-Shigella coli	40	17	23	103	99	0.65457606407156	0.30344229668703	1.388833181606	0.289595698687013	0.421074382287177	Rebuilt	2	cd_calprotectin
Bacteroides dorei__Bifidobacterium breve	20	8	12	103	99	0.612018236867191	0.206534705690668	1.71741949192389	0.350895318572648	0.421074382287177	Rebuilt	2	cd_calprotectin
Bacteroides dorei__Faecalibacterium prausnitzii	35	18	17	103	99	1.02135009812966	0.461248247261542	2.26951192179532	1	1	Rebuilt	2	cd_calprotectin
Segatella sp.__Faecalibacterium prausnitzii__Escherichia-Shigella coli	14	2	12	103	99	0.144747514575504	0.0153099574076411	0.676922844245697	0.00488744633080635	0.0439870169772572	Rebuilt	3	cd_calprotectin
Bacteroides dorei__Bacteroides uniformis	30	21	9	103	99	2.54939679247557	1.04718673443794	6.7020941914274	0.029346669935509	0.132060014709791	Rebuilt	3	cd_calprotectin
Bacteroides dorei__Bacteroides ovatus	28	19	9	103	99	2.25300117461357	0.91075562274415	5.98579063549929	0.0671288176990438	0.201386453097131	Rebuilt	3	cd_calprotectin
Segatella sp.__Faecalibacterium prausnitzii__Bifidobacterium breve	14	10	4	103	99	2.54255396923542	0.702279716335805	11.5046806212585	0.165380938841173	0.372107112392639	Rebuilt	3	cd_calprotectin
Bacteroides dorei__Escherichia-Shigella coli	40	17	23	103	99	0.65457606407156	0.30344229668703	1.388833181606	0.289595698687013	0.49292430597567	Rebuilt	3	cd_calprotectin
