analysis	analysis_title	medication_field	mode	depth	positive_samples	negative_samples	top_label	n_positive_in_label	n_negative_in_label	or	ci_low	ci_high	p_value	q_value	bayes_or	bayes_lo	bayes_hi
abx_negative_cd_vs_healthy	Antibiotic-negative Gevers subset	antibiotics	Rebuilt	1	206	26	Faecalibacterium prausnitzii	104	7	2.75602518079031	1.05326127052453	8.10346765204384	0.0356341736549831	0.106902520964949	2.73987270135329	1.14636870788518	7.19304271919933
abx_negative_cd_vs_healthy	Antibiotic-negative Gevers subset	antibiotics	Rebuilt	2	206	26	Faecalibacterium prausnitzii__Dialister invisus	46	2	3.4369393170359	0.80224501426099	31.0989197056513	0.120536544191163	0.392241313570571	3.22691345556789	0.943614131834122	17.5408659515912
abx_negative_cd_vs_healthy	Antibiotic-negative Gevers subset	antibiotics	Rebuilt	3	206	26	Blautia obeum__Bifidobacterium breve	13	5	0.285163041014265	0.084283191377728	1.12310818539288	0.0367716442629568	0.455955038007191	0.277323972165112	0.0946870018206815	0.912713062528257
abx_negative_cd_vs_healthy	Antibiotic-negative Gevers subset	antibiotics	Rebuilt	4	206	26	Blautia obeum__Bifidobacterium breve	13	5	0.285163041014265	0.084283191377728	1.12310818539288	0.0367716442629568	0.455955038007191	0.279613673342869	0.0967160904351788	0.90321521165376
abx_negative_cd_vs_healthy	Antibiotic-negative Gevers subset	antibiotics	AGP transfer	1	206	26	Segatella sp.	7	3	0.272048023344113	0.0570329380265264	1.74070914262984	0.0881262678996397	1	0.260454322684097	0.0693337098819584	1.18302074590155
abx_negative_cd_vs_healthy	Antibiotic-negative Gevers subset	antibiotics	AGP transfer	2	189	26	Bacteroides dorei__Bifidobacterium breve	0	1	0	0	5.36508036337819	0.12093023255814	1	0.0260503632040491	5.10808905220233e-05	0.785381827742367
abx_negative_cd_vs_healthy	Antibiotic-negative Gevers subset	antibiotics	AGP transfer	3	174	24	Segatella sp.__Faecalibacterium prausnitzii__UCG-002 sp.	2	2	0.130344164472406	0.00902419463405883	1.88068027099139	0.0727155851158752	1	0.128072281550843	0.0170810853553737	0.966944428623668
abx_negative_cd_vs_healthy	Antibiotic-negative Gevers subset	antibiotics	AGP transfer	4	173	24	Segatella sp.__Faecalibacterium prausnitzii__UCG-002 sp.	2	2	0.131103814323578	0.00907663420007367	1.89170350348063	0.0733970932516121	1	0.128098489308816	0.0166980794533306	0.998640484175676
mesalamine_negative_cd_vs_healthy	Mesalamine-negative Gevers subset	mesalamine	Rebuilt	1	224	26	Faecalibacterium prausnitzii	113	7	2.75258798061004	1.05624846769373	8.06553030255858	0.0364462900383303	0.109338870114991	2.73408457383286	1.15136777073651	7.11359233661894
mesalamine_negative_cd_vs_healthy	Mesalamine-negative Gevers subset	mesalamine	Rebuilt	2	224	26	Faecalibacterium prausnitzii__Dialister invisus	54	2	3.79759538828973	0.89347423452985	34.2025446758134	0.0792402463949466	0.344366087498238	3.56584385557095	1.05194257473318	19.5584522896798
mesalamine_negative_cd_vs_healthy	Mesalamine-negative Gevers subset	mesalamine	Rebuilt	3	224	26	Blautia obeum__Bifidobacterium breve	14	5	0.282151487559083	0.0847036649218565	1.10024158819441	0.0344216814976115	0.523455863162203	0.273392364682571	0.0969373557509057	0.883463143553733
