threshold	mode	depth	label	n_samples	n_subjects	high_cal_samples	lower_cal_samples	n_high_label	n_lower_label	n_high_other	n_lower_other	or_value	ci_low	ci_high	p_value	q_value	mode_key	label_col
100	Rebuilt	1	Segatella sp.	202	49	144	58	34	15	110	43	0.886604144693733	0.419393963491853	1.93563351587165	0.720719806218706	0.720719806218706	rebuilt	depth1_absorb
100	Rebuilt	1	Bacteroides dorei	202	49	144	58	110	43	34	15	1.12789908098776	0.516626722879245	2.38439292657922	0.720719806218706	0.720719806218706	rebuilt	depth1_absorb
150	Rebuilt	1	Segatella sp.	202	49	132	70	30	19	102	51	0.790432073142702	0.387292524330659	1.63851409085828	0.494805086145458	0.494805086145458	rebuilt	depth1_absorb
150	Rebuilt	1	Bacteroides dorei	202	49	132	70	102	51	30	19	1.26513084928862	0.610309063302705	2.58202763331994	0.494805086145458	0.494805086145458	rebuilt	depth1_absorb
200	Rebuilt	1	Segatella sp.	202	49	114	88	22	27	92	61	0.541936027928731	0.26734446929237	1.08802870225658	0.0698316053982984	0.0698316053982984	rebuilt	depth1_absorb
200	Rebuilt	1	Bacteroides dorei	202	49	114	88	92	61	22	27	1.8452362427757	0.919093400685104	3.74049256618955	0.0698316053982984	0.0698316053982984	rebuilt	depth1_absorb
250	Rebuilt	1	Bacteroides dorei	202	49	103	99	83	70	20	29	1.71461933402224	0.853364890746493	3.50020305837103	0.139054786452148	0.139054786452148	rebuilt	depth1_absorb
250	Rebuilt	1	Segatella sp.	202	49	103	99	20	29	83	70	0.583219832039426	0.285697710482372	1.17183166409065	0.139054786452148	0.139054786452148	rebuilt	depth1_absorb
100	Rebuilt	2	Bacteroides dorei__Bacteroides ovatus	202	49	144	58	25	3	119	55	3.83162988422528	1.09762429930821	20.6609543049624	0.0242458764727627	0.145475258836576	rebuilt	depth2_absorb
100	Rebuilt	2	Bacteroides dorei__Faecalibacterium prausnitzii	202	49	144	58	21	13	123	45	0.592673665735729	0.257706500950803	1.40239049330691	0.212702706686941	0.638108120060823	rebuilt	depth2_absorb
100	Rebuilt	2	Bacteroides dorei__Bifidobacterium breve	202	49	144	58	13	7	131	51	0.724228381681648	0.251208202048079	2.27163432044077	0.603056647899144	0.846894135975979	rebuilt	depth2_absorb
100	Rebuilt	2	Segatella sp.__Faecalibacterium prausnitzii	202	49	144	58	34	15	110	43	0.886604144693733	0.419393963491853	1.93563351587165	0.720719806218706	0.846894135975979	rebuilt	depth2_absorb
100	Rebuilt	2	Bacteroides dorei__Bacteroides uniformis	202	49	144	58	23	8	121	50	1.1870633612731	0.472433838480675	3.28233878924858	0.830301568552635	0.846894135975979	rebuilt	depth2_absorb
100	Rebuilt	2	Bacteroides dorei__Escherichia-Shigella coli	202	49	144	58	28	12	116	46	0.925648660648122	0.41293636340692	2.17626574769352	0.846894135975979	0.846894135975979	rebuilt	depth2_absorb
150	Rebuilt	2	Bacteroides dorei__Bacteroides ovatus	202	49	132	70	22	6	110	64	2.12608004595915	0.782430024164332	6.75361127697099	0.136551313847323	0.75036386233329	rebuilt	depth2_absorb
150	Rebuilt	2	Bacteroides dorei__Faecalibacterium prausnitzii	202	49	132	70	20	14	112	56	0.715546715177937	0.316280657072014	1.6540519916335	0.430846749961241	0.75036386233329	rebuilt	depth2_absorb
150	Rebuilt	2	Segatella sp.__Faecalibacterium prausnitzii	202	49	132	70	30	19	102	51	0.790432073142702	0.387292524330659	1.63851409085828	0.494805086145458	0.75036386233329	rebuilt	depth2_absorb
150	Rebuilt	2	Bacteroides dorei__Bacteroides uniformis	202	49	132	70	22	9	110	61	1.35358347437726	0.556090424524501	3.55838178760082	0.542825254918485	0.75036386233329	rebuilt	depth2_absorb
150	Rebuilt	2	Bacteroides dorei__Bifidobacterium breve	202	49	132	70	12	8	120	62	0.776028168817701	0.274770522064499	2.31096643702853	0.625303218611076	0.75036386233329	rebuilt	depth2_absorb
150	Rebuilt	2	Bacteroides dorei__Escherichia-Shigella coli	202	49	132	70	26	14	106	56	0.981215670645291	0.451360643938801	2.20473968149124	1	1	rebuilt	depth2_absorb
200	Rebuilt	2	Segatella sp.__Faecalibacterium prausnitzii	202	49	114	88	22	27	92	61	0.541936027928731	0.26734446929237	1.08802870225658	0.0698316053982984	0.305568248828949	rebuilt	depth2_absorb
200	Rebuilt	2	Bacteroides dorei__Bacteroides ovatus	202	49	114	88	20	8	94	80	2.12011834242002	0.838873905228201	5.87872688248593	0.101856082942983	0.305568248828949	rebuilt	depth2_absorb
200	Rebuilt	2	Bacteroides dorei__Bacteroides uniformis	202	49	114	88	21	10	93	78	1.75650522985076	0.738840679730032	4.44133765658801	0.23721155958008	0.47442311916016	rebuilt	depth2_absorb
200	Rebuilt	2	Bacteroides dorei__Faecalibacterium prausnitzii	202	49	114	88	18	16	96	72	0.844468502083339	0.377256686844019	1.9036102562611	0.706375593517348	1	rebuilt	depth2_absorb
200	Rebuilt	2	Bacteroides dorei__Escherichia-Shigella coli	202	49	114	88	22	18	92	70	0.930287471838766	0.43835309695541	1.99377745851305	0.860186908999831	1	rebuilt	depth2_absorb
200	Rebuilt	2	Bacteroides dorei__Bifidobacterium breve	202	49	114	88	11	9	103	79	0.937743198675349	0.33468131684951	2.6959788617454	1	1	rebuilt	depth2_absorb
250	Rebuilt	2	Bacteroides dorei__Bacteroides uniformis	202	49	103	99	21	10	82	89	2.2701821798856	0.955617471340669	5.73894151381586	0.0512758320420045	0.201386453097132	rebuilt	depth2_absorb
250	Rebuilt	2	Bacteroides dorei__Bacteroides ovatus	202	49	103	99	19	9	84	90	2.25300117461357	0.91075562274415	5.9857906354993	0.0671288176990439	0.201386453097132	rebuilt	depth2_absorb
250	Rebuilt	2	Segatella sp.__Faecalibacterium prausnitzii	202	49	103	99	20	29	83	70	0.583219832039426	0.285697710482372	1.17183166409065	0.139054786452148	0.278109572904297	rebuilt	depth2_absorb
250	Rebuilt	2	Bacteroides dorei__Escherichia-Shigella coli	202	49	103	99	17	23	86	76	0.654576064071561	0.30344229668703	1.388833181606	0.289595698687013	0.421074382287177	rebuilt	depth2_absorb
250	Rebuilt	2	Bacteroides dorei__Bifidobacterium breve	202	49	103	99	8	12	95	87	0.612018236867191	0.206534705690668	1.71741949192389	0.350895318572648	0.421074382287177	rebuilt	depth2_absorb
250	Rebuilt	2	Bacteroides dorei__Faecalibacterium prausnitzii	202	49	103	99	18	16	85	83	1.09801840898935	0.491405423052103	2.47223265356089	0.852267511855682	0.852267511855682	rebuilt	depth2_absorb
100	Rebuilt	3	Bacteroides dorei__Bacteroides ovatus	202	49	144	58	25	3	119	55	3.83162988422528	1.09762429930821	20.6609543049624	0.0242458764727627	0.218212888254864	rebuilt	depth3_absorb
100	Rebuilt	3	Bacteroides dorei__Faecalibacterium prausnitzii__Bacteroides stercoris	202	49	144	58	21	13	123	45	0.592673665735729	0.257706500950803	1.40239049330691	0.212702706686941	0.697276916646003	rebuilt	depth3_absorb
