depth	total_samples_in_comparison	mapped_samples	mapped_cases	mapped_controls	DCST	Condition	n_DCST	n_cases	prev_DCST	prev_pop	OR	CI_low	CI_high	p_value	q_value	cohort	cohort_slug	comparison	comparison_display	n_controls	bayes_or	bayes_cri_lo	bayes_cri_hi	bayes_pr_gt1
1	396	396	363	33	Proteus	Crohn_vs_Healthy	1	0	0.0	0.916666666666667	0.0			0.0833333333333333	1.0	Gevers 2014	gevers_2014	Crohn_vs_Healthy	Crohn vs healthy	1	0.017230444974056652	3.597727019959908e-05	0.5110523387225928	0.01085
1	396	396	363	33	Agathobacter	Crohn_vs_Healthy	9	7	0.777777777777778	0.916666666666667	0.304775280898876	0.0606904368404531	1.53052073247024	0.167702919630861	1.0	Gevers 2014	gevers_2014	Crohn_vs_Healthy	Crohn vs healthy	2	0.288888146882049	0.069656882512938	1.7752220171934519	0.07955
1	396	396	363	33	Bacteroides	Crohn_vs_Healthy	140	125	0.892857142857143	0.916666666666667	0.630252100840336	0.30720280644603	1.29301458931639	0.253506841470831	1.0	Gevers 2014	gevers_2014	Crohn_vs_Healthy	Crohn vs healthy	15	0.6300748226310398	0.3104010714652282	1.2864187016713813	0.10375
1	396	396	363	33	Dialister	Crohn_vs_Healthy	15	13	0.866666666666667	0.916666666666667	0.575714285714286	0.124243971145378	2.66771043874381	0.36034616741176	1.0	Gevers 2014	gevers_2014	Crohn_vs_Healthy	Crohn vs healthy	2	0.5409865877162001	0.14780487030311273	3.0689979995268137	0.2183
1	396	396	363	33	Faecalibacterium	Crohn_vs_Healthy	56	53	0.946428571428571	0.916666666666667	1.70967741935484	0.503703187987722	5.80301444969825	0.600340546356377	1.0	Gevers 2014	gevers_2014	Crohn_vs_Healthy	Crohn vs healthy	3	1.638741216850546	0.5694294726112896	6.64329231609992	0.80475
1	396	396	363	33	Bifidobacterium	Crohn_vs_Healthy	23	22	0.956521739130435	0.916666666666667	2.06451612903226	0.269374244610738	15.822696238809	0.70852772271369	1.0	Gevers 2014	gevers_2014	Crohn_vs_Healthy	Crohn vs healthy	1	1.7489724667604793	0.3879017183452496	19.92979883023011	0.73735
1	396	396	363	33	Blautia	Crohn_vs_Healthy	61	57	0.934426229508197	0.916666666666667	1.35049019607843	0.457261257191176	3.98858145320945	0.801450081868222	1.0	Gevers 2014	gevers_2014	Crohn_vs_Healthy	Crohn vs healthy	4	1.3035269111893975	0.5006788501774934	4.314608234128789	0.69995
1	396	396	363	33	Akkermansia	Crohn_vs_Healthy	12	11	0.916666666666667	0.916666666666667	1.0	0.125068469369297	7.9956203593349	1.0	1.0	Gevers 2014	gevers_2014	Crohn_vs_Healthy	Crohn vs healthy	1	0.8615224384789062	0.1756744191122106	10.224494147962227	0.4358
1	396	396	363	33	Escherichia-Shigella	Crohn_vs_Healthy	28	26	0.928571428571429	0.916666666666667	1.19584569732938	0.270984939341844	5.27721922588916	1.0	1.0	Gevers 2014	gevers_2014	Crohn_vs_Healthy	Crohn vs healthy	2	1.1060169553114085	0.329775057088702	6.302432112524081	0.5571
1	396	396	363	33	Lachnospiraceae	Crohn_vs_Healthy	3	3	1.0	0.916666666666667	inf			1.0	1.0	Gevers 2014	gevers_2014	Crohn_vs_Healthy	Crohn vs healthy	0	1.2534166225956744	0.07803488012992812	555.7554591034499	0.54785
1	396	396	363	33	Lactobacillus	Crohn_vs_Healthy	5	5	1.0	0.916666666666667	inf			1.0	1.0	Gevers 2014	gevers_2014	Crohn_vs_Healthy	Crohn vs healthy	0	2.1009849993978476	0.14822178047904488	970.9025461378955	0.6668
1	396	396	363	33	Pasteurellaceae	Crohn_vs_Healthy	1	1	1.0	0.916666666666667	inf			1.0	1.0	Gevers 2014	gevers_2014	Crohn_vs_Healthy	Crohn vs healthy	0	0.46038326300435584	0.015611404473944249	238.22111094391582	0.36325
1	396	396	363	33	Staphylococcus	Crohn_vs_Healthy	5	5	1.0	0.916666666666667	inf			1.0	1.0	Gevers 2014	gevers_2014	Crohn_vs_Healthy	Crohn vs healthy	0	2.101691319817294	0.1438962129650822	1021.7590947562841	0.66875
1	396	396	363	33	Streptococcus	Crohn_vs_Healthy	31	29	0.935483870967742	0.916666666666667	1.34580838323353	0.306533431885646	5.90865470444782	1.0	1.0	Gevers 2014	gevers_2014	Crohn_vs_Healthy	Crohn vs healthy	2	1.2493935074879807	0.36980038047690356	6.724612066491979	0.62405
1	396	396	363	33	Veillonella	Crohn_vs_Healthy	6	6	1.0	0.916666666666667	inf			1.0	1.0	Gevers 2014	gevers_2014	Crohn_vs_Healthy	Crohn vs healthy	0	2.606573684935382	0.17651624648526607	1289.9881924341473	0.71325
2	396	308	282	26	Bacteroides__Dialister	Crohn_vs_Healthy	10	7	0.7	0.915584415584416	0.195151515151515	0.0472718787590621	0.805639946320756	0.0431284364160882	0.971741613435424	Gevers 2014	gevers_2014	Crohn_vs_Healthy	Crohn vs healthy	3	0.19115175587258437	0.048587980909111844	0.8853429798844719	0.01795
2	396	308	282	26	Agathobacter__Bacteroides	Crohn_vs_Healthy	5	3	0.6	0.915584415584416	0.129032258064516	0.020550783882175	0.810155160829115	0.0585573167519302	0.971741613435424	Gevers 2014	gevers_2014	Crohn_vs_Healthy	Crohn vs healthy	2	0.12578631277145835	0.021707842649605857	0.8348320112904093	0.01735
2	396	308	282	26	Faecalibacterium__Bacteroides	Crohn_vs_Healthy	33	33	1.0	0.915584415584416	inf			0.0911316277838184	0.971741613435424	Gevers 2014	gevers_2014	Crohn_vs_Healthy	Crohn vs healthy	0	15.035166102223018	1.2949829279209393	6408.518143122817	0.9881
2	396	308	282	26	Faecalibacterium__Agathobacter	Crohn_vs_Healthy	7	5	0.714285714285714	0.915584415584416	0.216606498194946	0.0398860172424904	1.1763113568104	0.110646961971421	0.971741613435424	Gevers 2014	gevers_2014	Crohn_vs_Healthy	Crohn vs healthy	2	0.20612355271319685	0.04476361828510023	1.3061820406945104	0.0434
2	396	308	282	26	Bacteroides__Escherichia-Shigella	Crohn_vs_Healthy	8	6	0.75	0.915584415584416	0.260869565217391	0.0499099917106905	1.36351315085741	0.140000037767023	0.971741613435424	Gevers 2014	gevers_2014	Crohn_vs_Healthy	Crohn vs healthy	2	0.2474972604307792	0.05723156602175207	1.5363489738193798	0.05885
2	396	308	282	26	Bacteroides__Roseburia	Crohn_vs_Healthy	2	1	0.5	0.915584415584416	0.0889679715302491	0.0053999828895149	1.46580093310595	0.161956935572571	0.971741613435424	Gevers 2014	gevers_2014	Crohn_vs_Healthy	Crohn vs healthy	1	0.08766157869748653	0.005630597998293506	1.4015373074676623	0.0391
2	396	308	282	26	Bacteroides__Sutterella	Crohn_vs_Healthy	2	1	0.5	0.915584415584416	0.0889679715302491	0.0053999828895149	1.46580093310595	0.161956935572571	0.971741613435424	Gevers 2014	gevers_2014	Crohn_vs_Healthy	Crohn vs healthy	1	0.08906400465125966	0.005528109048020253	1.3386338972307712	0.03805
2	396	308	282	26	Bacteroides__Alistipes	Crohn_vs_Healthy	3	2	0.666666666666667	0.915584415584416	0.178571428571429	0.0156406594656651	2.03877305634343	0.233163209020653	1.0	Gevers 2014	gevers_2014	Crohn_vs_Healthy	Crohn vs healthy	1	0.16485514542380342	0.018617803764635996	2.278067121561482	0.0751
