label_short	depth	label	analysis	n	cases	controls	label_cases	label_controls	adjusted_or	ci_low	ci_high	p_value	fit_status	q_value_selected_labels
[Eubacterium] eligens group eligens	1	[Eubacterium] eligens group eligens	age_sex_bmi_complete_case	21999	1177	20822	86	13	73.9100607754336	40.5093791723729	134.850180265261	1.09265576365672e-44	ok	3.27796729097017e-44
[Eubacterium] eligens group eligens	1	[Eubacterium] eligens group eligens	plus_antibiotic_status	21734	1157	20577	86	13	76.4162880008685	41.8470679048331	139.542609893518	3.12444011149902e-45	ok	9.37332033449706e-45
[Eubacterium] eligens group eligens	1	[Eubacterium] eligens group eligens	excluding_week_month_6mo_antibiotics	17790	917	16873	86	7	122.708206974442	55.9079046978306	269.323347749547	3.89700481389639e-33	ok	7.79400962779278e-33
Alistipes sp.	1	Alistipes sp.	age_sex_bmi_complete_case	21999	1177	20822	28	82	5.24268720377003	3.34516652798223	8.21656228072844	4.92359390298844e-13	ok	5.90831268358613e-13
Alistipes sp.	1	Alistipes sp.	plus_antibiotic_status	21734	1157	20577	28	82	5.35305571852286	3.41082320543087	8.40125793678905	2.97330202408357e-13	ok	3.56796242890028e-13
Alistipes sp.	1	Alistipes sp.	excluding_week_month_6mo_antibiotics	17790	917	16873	27	69	5.85293232568711	3.64507054362823	9.39812176446237	2.61194195256993e-13	ok	3.13433034308391e-13
Segatella sp.	1	Segatella sp.	age_sex_bmi_complete_case	21999	1177	20822	79	2240	0.562675070633242	0.445037319433894	0.711408282601684	1.54359517121396e-06	ok	1.54359517121396e-06
Segatella sp.	1	Segatella sp.	plus_antibiotic_status	21734	1157	20577	77	2217	0.55812851160079	0.440094908246063	0.707818767327217	1.50438434001409e-06	ok	1.50438434001409e-06
Segatella sp.	1	Segatella sp.	excluding_week_month_6mo_antibiotics	17790	917	16873	56	1895	0.487977959251876	0.369930162999514	0.643695790537465	3.82240393333659e-07	ok	3.82240393333659e-07
[Eubacterium] eligens group eligens / Bacteroides dorei	2	[Eubacterium] eligens group eligens__Bacteroides dorei	age_sex_bmi_complete_case	21999	1177	20822	86	13	73.9100607754336	40.5093791723729	134.850180265261	1.09265576365672e-44	ok	3.27796729097017e-44
[Eubacterium] eligens group eligens / Bacteroides dorei	2	[Eubacterium] eligens group eligens__Bacteroides dorei	plus_antibiotic_status	21734	1157	20577	86	13	76.4162880008685	41.8470679048331	139.542609893518	3.12444011149902e-45	ok	9.37332033449706e-45
[Eubacterium] eligens group eligens / Bacteroides dorei	2	[Eubacterium] eligens group eligens__Bacteroides dorei	excluding_week_month_6mo_antibiotics	17790	917	16873	86	7	122.708206974442	55.9079046978306	269.323347749547	3.89700481389639e-33	ok	7.79400962779278e-33
Bacteroides dorei / [Eubacterium] eligens group eligens	3	Bacteroides dorei__[Eubacterium] eligens group eligens	age_sex_bmi_complete_case	21999	1177	20822	54	31	18.7516272000753	11.8189946822962	29.750713330746	1.44744726185934e-35	ok	2.89489452371869e-35
Bacteroides dorei / [Eubacterium] eligens group eligens	3	Bacteroides dorei__[Eubacterium] eligens group eligens	plus_antibiotic_status	21734	1157	20577	54	31	19.271317168957	12.1240522592838	30.631974977026	6.33251815981177e-36	ok	1.26650363196235e-35
Bacteroides dorei / [Eubacterium] eligens group eligens	3	Bacteroides dorei__[Eubacterium] eligens group eligens	excluding_week_month_6mo_antibiotics	17790	917	16873	54	26	22.4342219408312	13.6520383346714	36.8658731943552	1.24084848315963e-34	ok	7.44509089895778e-34
Alistipes sp. / Bacteroides dorei	4	Alistipes sp.__Bacteroides dorei	age_sex_bmi_complete_case	21999	1177	20822	28	82	5.24268720377003	3.34516652798223	8.21656228072844	4.92359390298844e-13	ok	5.90831268358613e-13
Alistipes sp. / Bacteroides dorei	4	Alistipes sp.__Bacteroides dorei	plus_antibiotic_status	21734	1157	20577	28	82	5.35305571852286	3.41082320543087	8.40125793678905	2.97330202408357e-13	ok	3.56796242890028e-13
Alistipes sp. / Bacteroides dorei	4	Alistipes sp.__Bacteroides dorei	excluding_week_month_6mo_antibiotics	17790	917	16873	27	69	5.85293232568711	3.64507054362823	9.39812176446237	2.61194195256993e-13	ok	3.13433034308391e-13
