label_short	depth	analysis	n	cases	controls	label_cases	label_controls	adjusted_or	ci_low	ci_high	p_value	fit_status	q_value_selected_labels
Bacteroides	1	age_sex_bmi_complete_case	23198	993	22205	444	7817	1.54399537809076	1.35682926560384	1.75697988538352	4.44596041708923e-11	ok	6.66894062563385e-11
Bacteroides	1	plus_antibiotic_status	22939	975	21964	442	7744	1.57947525125189	1.38640518006477	1.79943216109497	6.35100160647e-12	ok	9.526502409705e-12
Bacteroides	1	excluding_week_month_6mo_antibiotics	18843	803	18040	376	6362	1.68739786272973	1.46137540137313	1.94837790787328	9.99362741099648e-13	ok	1.49904411164947e-12
Bacteroides / Lachnospiraceae	2	age_sex_bmi_complete_case	23198	993	22205	155	1150	3.21122817341689	2.67070507578429	3.86114755809123	2.4117215412259e-35	ok	1.44703292473554e-34
Bacteroides / Lachnospiraceae	2	plus_antibiotic_status	22939	975	21964	155	1142	3.26335648525877	2.71180274297757	3.92709078027824	5.71861722399941e-36	ok	3.43117033439964e-35
Bacteroides / Lachnospiraceae	2	excluding_week_month_6mo_antibiotics	18843	803	18040	139	944	3.44461423700608	2.82153563083619	4.20528704727664	5.78807183985816e-34	ok	3.4728431039149e-33
Bacteroides / Lachnospiraceae / Alistipes	3	age_sex_bmi_complete_case	23198	993	22205	47	100	8.55894062369354	5.92458170863399	12.3646644105111	2.66520353036086e-30	ok	7.99561059108258e-30
Bacteroides / Lachnospiraceae / Alistipes	3	plus_antibiotic_status	22939	975	21964	47	98	8.6409044695552	5.9616733610599	12.5242068006733	4.79446661538144e-30	ok	1.43833998461443e-29
Bacteroides / Lachnospiraceae / Alistipes	3	excluding_week_month_6mo_antibiotics	18843	803	18040	47	80	10.0396545261344	6.78452748539055	14.856548701612	8.71614061676091e-31	ok	2.61484218502827e-30
Bacteroides / Lachnospiraceae / Alistipes / Faecalibacterium	4	age_sex_bmi_complete_case	23198	993	22205	16	55	5.53300009191445	3.10051675259436	9.87386699056183	7.06134607884798e-09	ok	8.47361529461757e-09
Bacteroides / Lachnospiraceae / Alistipes / Faecalibacterium	4	plus_antibiotic_status	22939	975	21964	16	53	5.66936106135484	3.1610065761301	10.1681708246733	5.83746941634454e-09	ok	7.00496329961345e-09
Bacteroides / Lachnospiraceae / Alistipes / Faecalibacterium	4	excluding_week_month_6mo_antibiotics	18843	803	18040	16	43	6.51203074919939	3.53335860991759	12.0017663532622	1.89632870560739e-09	ok	2.27559444672887e-09
Morganella	1	age_sex_bmi_complete_case	23198	993	22205	20	22	19.7748107299032	10.5324537178242	37.1274491091973	1.60798881532486e-20	ok	3.21597763064972e-20
Morganella	1	plus_antibiotic_status	22939	975	21964	19	22	19.1976330664696	10.0960222999061	36.5043880061793	2.02730566357514e-19	ok	4.05461132715028e-19
Morganella	1	excluding_week_month_6mo_antibiotics	18843	803	18040	19	21	19.4201920555513	10.0571001705583	37.5002588299328	9.97728598524849e-19	ok	1.9954571970497e-18
Proteus	1	age_sex_bmi_complete_case	23198	993	22205	6	31	3.6267524086794	1.48304961560143	8.86911192686407	0.00474588115157025	ok	0.00474588115157025
Proteus	1	plus_antibiotic_status	22939	975	21964	6	31	3.74678773845043	1.52487146175316	9.20629620864066	0.003978517369499	ok	0.003978517369499
Proteus	1	excluding_week_month_6mo_antibiotics	18843	803	18040	5	16	6.46135661943693	2.26857825652178	18.4032132211087	0.000475970106061358	ok	0.000475970106061358
