depth	lineage	size
1	Bacteroides	10358
1	Escherichia-Shigella	6857
1	Prevotella_9	1870
1	Enterobacteriaceae	1564
1	Faecalibacterium	1320
1	Streptococcus	827
1	Pseudomonas	664
1	Staphylococcus	583
1	Prevotella_7	476
1	Unassigned	444
1	Lachnospiraceae	416
1	Eukaryota	331
1	Akkermansia	330
1	Pasteurellaceae	276
1	Acinetobacter	229
1	Neisseria	222
1	Agathobacter	177
1	Rothia	167
1	Bifidobacterium	161
1	Veillonella	156
1	Corynebacterium	154
1	Chloroplast	150
1	Stenotrophomonas	135
1	Lactobacillus	117
1	Corynebacteriaceae	104
1	Clostridia_UCG-014	95
1	Enterobacterales	92
1	Alistipes	89
1	Subdoligranulum	79
1	Dialister	76
1	Comamonadaceae	73
1	Prevotellaceae	70
1	uncultured_12	69
1	Blautia	68
1	Muribaculaceae	64
1	Prevotellaceae_NK3B31_group	55
1	Lawsonella	53
1	Morganella	53
1	uncultured_11	53
1	Proteus	51
1	Bacteria	43
1	Hafnia-Obesumbacterium	42
1	Gastranaerophilales	39
1	Ruminococcaceae	39
1	Finegoldia	38
1	UCG-002	36
1	Brevundimonas	35
1	RF39	34
1	Cutibacterium	32
1	Fenollaria	30
1	Mitochondria	30
1	Psychrobacter	30
1	Christensenellaceae_R-7_group	27
1	Peptoniphilus	26
1	Ruminococcus	23
1	Xanthomonadaceae	23
1	Anaerococcus	22
1	Clostridia_vadinBB60_group	22
1	Parabacteroides	22
1	Providencia	22
1	Chryseobacterium	21
1	Enhydrobacter	21
1	Clostridium_sensu_stricto_1	20
1	Planococcaceae	20
1	Lactobacillaceae	19
1	Lactobacillales	18
1	Lactococcus	18
1	Fusobacterium	17
1	[Ruminococcus]_gnavus_group	15
1	Alloprevotella	15
1	Leptotrichia	15
1	Romboutsia	15
1	Bacteroidales	14
1	Pseudomonadaceae	14
1	Clostridia	13
1	Micrococcus	13
1	Prevotella	13
1	[Eubacterium]_coprostanoligenes_group	12
1	Bacillales	12
1	Megasphaera	12
1	Micrococcaceae	12
1	Paraprevotella	11
1	[Eubacterium]_siraeum_group	9
1	Rhizobiaceae	9
1	Rikenellaceae_RC9_gut_group	9
1	Coprococcus	8
1	Phascolarctobacterium	8
1	Atopobium	7
1	Catenibacterium	7
1	Erysipelotrichaceae_UCG-003	7
1	Lacticaseibacillus	7
1	Staphylococcaceae	7
1	uncultured_4	7
1	[Eubacterium]_eligens_group	6
1	Anaeroplasma	6
1	Anaerostipes	6
1	Ezakiella	6
1	Holdemanella	6
1	[Eubacterium]_ruminantium_group	5
1	[Ruminococcus]_torques_group	5
1	Bacillus	5
1	Firmicutes	5
1	Lachnospira	5
1	Porphyromonas	5
1	UCG-010	4
1	[Eubacterium]_hallii_group	3
1	Bacillaceae	3
1	Fusicatenibacter	3
1	Haemophilus	3
1	Leuconostoc	3
1	Ligilactobacillus	3
1	Tannerellaceae_1	3
1	Weissella	3
1	CAG-352	2
1	Cloacibacterium	2
1	Megamonas	2
1	Methylobacterium-Methylorubrum	2
1	Monoglobus	2
1	Oscillospirales	2
1	Sphingomonas	2
1	Abiotrophia	1
1	Actinomyces	1
1	Collinsella	1
1	Eikenella	1
1	Eisenbergiella	1
1	Izemoplasmatales	1
1	Latilactobacillus	1
1	Methanobrevibacter	1
1	Microbacteriaceae	1
1	Negativibacillus	1
1	Odoribacter	1
1	Oscillospiraceae	1
1	Rhodobacteraceae	1
1	Sphingomonadaceae	1
1	Sutterella	1
1	Tannerellaceae	1
1	Turicibacter	1
1	Tyzzerella	1
1	Varibaculum	1
1	Veillonellaceae	1
2	Escherichia-Shigella__Bacteroides	3601
2	Bacteroides__Faecalibacterium	2846
2	Bacteroides__Lachnospiraceae	1548
2	Bacteroides__Escherichia-Shigella	1065
2	Bacteroides__Alistipes	786
2	Escherichia-Shigella__Enterobacteriaceae	761
2	Prevotella_9__Bacteroides	714
2	Faecalibacterium__Bacteroides	622
2	Enterobacteriaceae__Bacteroides	592
2	Escherichia-Shigella__Pseudomonas	519
2	Bacteroides__Akkermansia	452
2	Enterobacteriaceae__Escherichia-Shigella	440
2	Bacteroides__Agathobacter	439
2	Bacteroides__Parabacteroides	419
2	Prevotella_9__Faecalibacterium	371
2	Eukaryota__Unassigned	330
2	Escherichia-Shigella__Faecalibacterium	314
2	Escherichia-Shigella__Prevotella_9	264
2	Faecalibacterium__Lachnospiraceae	230
2	Unassigned__Eukaryota	225
2	Akkermansia__Bacteroides	222
2	Streptococcus__Rothia	219
2	Bacteroides__Prevotella_9	212
2	Bacteroides__Enterobacteriaceae	200
2	Prevotella_7__Veillonella	189
2	Prevotella_9__Lachnospiraceae	177
2	Pseudomonas__Bacteroides	173
2	Bacteroides__uncultured_11	172
2	Pseudomonas__Escherichia-Shigella	171
2	Escherichia-Shigella__Akkermansia	144
2	Bacteroides__Clostridia_UCG-014	142
2	Bacteroides__Muribaculaceae	132
2	Lachnospiraceae__Bacteroides	128
2	Prevotella_7__Streptococcus	128
2	Bacteroides__Paraprevotella	125
2	Streptococcus__Pasteurellaceae	122
2	Escherichia-Shigella__Lachnospiraceae	116
2	Lachnospiraceae__Faecalibacterium	112
2	Enterobacteriaceae__Pseudomonas	109
2	Rothia__Streptococcus	106
2	Prevotella_9__Alloprevotella	104
2	Bacteroides__UCG-002	100
2	Staphylococcus__Corynebacteriaceae	100
2	Bacteroides__Blautia	99
2	Escherichia-Shigella__Clostridia_UCG-014	99
2	Bacteroides__Ruminococcus	96
2	Prevotella_9__Escherichia-Shigella	94
2	Bacteroides__Ruminococcaceae	90
2	Streptococcus__Prevotella_7	89
2	Bacteroides__Bifidobacterium	87
2	Escherichia-Shigella__Comamonadaceae	85
2	Neisseria__Pasteurellaceae	85
2	Faecalibacterium__Agathobacter	83
2	Staphylococcus__Streptococcus	82
2	Bacteroides__Dialister	80
2	Pasteurellaceae__Neisseria	79
2	Streptococcus__Veillonella	77
2	Staphylococcus__Corynebacterium	76
2	Pasteurellaceae__Streptococcus	74
2	Agathobacter__Bacteroides	72
2	Streptococcus__Staphylococcus	69
2	Prevotella_7__Pasteurellaceae	67
2	Bacteroides__Pseudomonas	66
2	Bacteroides__Subdoligranulum	65
2	Faecalibacterium__Prevotella_9	65
2	Corynebacterium__Staphylococcus	64
2	Bacteroides__Prevotellaceae_NK3B31_group	63
2	Bacteroides__Sutterella	61
2	Escherichia-Shigella__Bifidobacterium	60
2	Bacteroides__Christensenellaceae_R-7_group	59
2	Bacteroides__Prevotellaceae	59
2	Escherichia-Shigella__Acinetobacter	59
2	Escherichia-Shigella__Alistipes	55
2	Streptococcus__Neisseria	55
2	Escherichia-Shigella__Agathobacter	54
2	Pseudomonas__Enterobacteriaceae	54
2	Bacteroides__[Ruminococcus]_torques_group	52
2	Enterobacteriaceae__Enterobacterales	52
2	Veillonella__Prevotella_7	52
2	Neisseria__Streptococcus	51
2	Prevotella_9__Dialister	50
2	Staphylococcus__Lawsonella	50
2	Faecalibacterium__Escherichia-Shigella	46
2	Veillonella__Streptococcus	46
2	Bacteroides__[Eubacterium]_eligens_group	45
2	Escherichia-Shigella__Christensenellaceae_R-7_group	44
2	Escherichia-Shigella__Stenotrophomonas	44
2	Pseudomonas__Streptococcus	44
2	Bacteroides__[Eubacterium]_siraeum_group	43
2	Prevotella_9__Prevotellaceae	43
2	Alistipes__Bacteroides	42
2	Lawsonella__Staphylococcus	41
2	Agathobacter__Faecalibacterium	40
2	Enterobacteriaceae__Faecalibacterium	39
2	Staphylococcus__Chloroplast	39
2	Staphylococcus__Enterobacteriaceae	39
2	Unassigned__Pseudomonas	39
2	Escherichia-Shigella__Proteus	38
2	Prevotellaceae_NK3B31_group__Bacteroides	38
2	Bacteroides__Gastranaerophilales	37
2	uncultured_11__Bacteroides	37
2	Bacteroides__[Eubacterium]_coprostanoligenes_group	36
2	Escherichia-Shigella__Subdoligranulum	36
2	Bacteroides__Clostridia_vadinBB60_group	35
2	Chloroplast__Staphylococcus	35
2	Corynebacteriaceae__Staphylococcus	35
2	Lactobacillus__Lactobacillaceae	34
2	Pasteurellaceae__Veillonella	34
2	Escherichia-Shigella__Unassigned	33
2	Muribaculaceae__Bacteroides	33
2	Pasteurellaceae__Prevotella_7	32
2	Prevotella_9__Agathobacter	32
2	Acinetobacter__Escherichia-Shigella	31
2	Bacteroides__Prevotella_7	31
2	Bifidobacterium__Bacteroides	31
2	Bacteroides__Alloprevotella	30
2	Escherichia-Shigella__Enterobacterales	30
2	Prevotella_7__Neisseria	30
2	Escherichia-Shigella__Blautia	29
2	Escherichia-Shigella__Dialister	29
2	Escherichia-Shigella__UCG-002	29
2	Comamonadaceae__Escherichia-Shigella	28
2	Chloroplast__Streptococcus	27
2	Escherichia-Shigella__Bacillales	27
2	Faecalibacterium__Bifidobacterium	27
2	Unassigned__Bacteroides	27
2	Escherichia-Shigella__Corynebacteriaceae	26
2	Lachnospiraceae__Prevotella_9	26
